quote,author,tags,likes
Virtue is the desire of things honourable and the power of attaining them.,Plato,,12
You take the words in the sense which is most damaging to the argument.,Plato,funny,12
"Human nature was originally one and we were a whole, and the pursuit of the whole is called love.",Plato,,12
"Men of Athens, I honor and I love you, but I will obey the god rather than you and as long as I draw breath and am able, I shall not cease to practice philosophy, to exhort you and in my usual way to point out to any one of you whom I happen to meet.",Plato,examined-life love-itself mission seeking-betterment truth,11
"A poet, you see, is a light thing, and winged and holy, and cannot compose before he gets inspiration and loses control of his senses and his reason has deserted him.",Plato,composition holy inspiration plato poet reason senses,11
"According to Greek mythology, humans were orginally created with four arms, four legs and a head with two faces. Fearing their power, Zeus split them in two seperate beings, condeming them to spend their lives in search of their other halves.",Plato,love,11
"if someone got to see the Beautiful itself, absolute, pure, unmixed, not polluted by human flesh or colors or any other great nonsense of mortality, but if he could see the divine Beauty itself in its one form? Do you think it would be a poor life for a human being to look there and to behold it by that which he ought, and to be with it? Or haven't you remembered that in that life alone, when he looks at Beauty in the only way what Beauty can be seen - only then will it become possible for him to give birth no to images of virtue but to true virtue. The love of the gods belongs to anyone who has given birth to true virtue and nourished it, and if any human being could become immortal, it would be he.",Plato,eros immortality love reproduction soul true-beauty true-virtue,11
"...we must go where the argument carries us, as a vessel runs before the wind.",Plato,,11
"Every king springs from a race of slaves, and every slave had kings among his ancestors.",Plato,equal equality king kings slave slavery,11
Reality is created by the mind. We can change our reality by changing our mind.,Plato,,11
"By such reflections and by the continuance in them of a divine nature, th qualities which we have described grew and increased among them; but when the divine portion began to fade away, and became diluted too often and too much with the mortal admixture, and the human nature got the upper hand, they then, being unable to bear their fortune, behaved unseemly, and to him who had an eye to see grew visibly debased, for they were losing the fairest of their precious gifts; but to those who had no eye to see the true happiness, they appeared glorious and blessed at the very time when they were full of avarice and unrighteous power. Zeus, the god of gods, who rules according to law, and is able to see into such things, perceiving that an honourable race was in a woeful plight, and wanting to inflict punishment on them, that they might be chastened and improve, collected all the gods into their most holy habitation, whch being placed in the centre of the world, beholds all created things. And when he had called them together, he spake as follows --",Plato,atlantis fall-of-atlantis,11
But I am too stupid to be convinced by him.,Plato,,11
Love is a serious mental illness,Plato,love plato,11
"The evil never attains to any real friendship, either with good or evil.",Plato,,11
"I was the first man to fall in love with you, son of Clinias, and now that the others have stopped pursuing you I suppose you're wondering why I'm the only one who hasn't given up - and also why, when the others pestered you with conversation, I never even spoke to you all these years. Human causes didn't enter into it; I was prevented by some divine being, the effect of which you'll hear later on. But now it no longer prevents me, so here I am. I'm confident it won't prevent me in future either.",Plato,,11
It is impossible to improve the world if first the man does not improve,Plato,,11
"The greatest mistake in the treatment of diseases is that there are physicians for the body and physicians for the soul, although the two cannot be separated.",Plato,medicine psychology treatment,10
The best is to do injustice without paying the penalty; the worst is to suffer it without being able to take revenge. Justice is a mean between these two extremes. People value it not because it is a good but because they are too weak to do injustice with impunity.,Plato,injustice justice,10
"Any one who has common sense will remember that the bewilderments of the eyes are of two kinds, and arise from two causes, either from coming out of the light or from going into the light, which is true of the mind's eye, quite as much as of the bodily eye",Plato,,10
"And if there were only some way of contriving that a state or an army should be made up of lovers and their beloved, they would be the very best governors of their own city, abstaining from all dishonour, and emulating one another in honour; and when fighting at each other's side, although a mere handful, they would overcome the world. For what lover would not choose rather to be seen by all mankind than by his beloved, either when abandoning his post or throwing away his arms? He would be ready to die a thousand deaths rather than endure this. Or who would desert his beloved or fail him in the hour of danger?",Plato,love nobility symposium theban-sacred-band,10
The rhetorician need not know the truth about things; he has only to discover some way of persuading the ignorant that he has more knowledge than those who know.,Plato,gorgias,10
The beginning is the most important part of any work.,Plato,,10
"Wars and revolutions and battles, you see, are due simply and solely to the body and its desires. All wars are undertaken for the acquisition of wealth; and the reason why we have to acquire wealth is the body, because we are slaves in its service.",Plato,greed philosophy war,10
The worst type of man behaves as badly in his waking life as some men do in their dreams.,Plato,morality philosophy,10
The comprehensive mind is always dialectical.,Plato,critical-thinking opposites,10
"Madness, provided it comes as the gift of heaven, is the channel by which we receive the greatest blessings . . . the men of old who gave things their names saw no disgrace or reproach in madness; otherwise they would not have connected it with it the name of the noblest of arts, the art of discerning the future, and called it the manic art . . . So, according to the evidence provided by our ancestors, madness is a nobler thing than sober sense . . . madness comes from God, whereas sober sense is merely human.",Plato,,10
أصعب أنواع الصداقة كافة هي صداقة المرء لنفسه,Plato,,10
"We've heard many people say and have often said ourselves that justice is doing one's own work and not meddling with what isn't one's own ... Then, it turns out that this doing one's own work-provided that it comes to be in a certain way-is justice.",Plato,justice philosophy plato republic will,10
Let no one destitute of Geometry enter my doors.,Plato,,10
"Do you desire to be wholly one; always day and night in one another's company? For if this is what you desire, I am ready to melt and fuse you together, so that being two you shall become one, and while you live a common life as if you were a single man, and after your death in the world below still be one departed soul, instead of two....",Plato,,9
"all of a sudden he will catch sight of something wonderfully beautiful in its nature; that, Socrates, is the reason for all his earlier labors",Plato,the-goal-of-loving,9
"The man who has no self-respect, on the contrary, will imitate anybody and anything; sounds of nature and cries of animals alike; his whole performance will be imitation of gesture and voice.",Plato,,9
"The Muse herself makes some men inspired, from whom a chain of other men is strung out who catch their own inspiration from theirs.",Plato,inspiration men muse plato,9
"....I am inclined to think that these muscles and bones of mine would have gone off long ago to Megara or Boeotia—by the dog they would, if they had been moved only by their own idea of what was best.(tr Jowett)",Plato,materialism philosophy,9
I am smart because I know I nothing.,Plato,philosophical,9
"This much is all I ask of my accusers: when my sons grow up, avenge yourselves by causing them the same kind of grief that I caused you, if you think they care for money or anything else more than they care for virtue, or if they think they are somebody when they are nobody.Reproach them as I reproach you, that they do not care for the right things and think they are worthy when they are not worthy of anything. If you do this, I shall have been justly treated by you, and my sons also.Now the hour to part has come. I go to die, you go to live. Which of us goes to the better lot is known to no one.",Plato,,9
"First, I must distinguish between that which always is and never becomes and which is apprehended by reason and reflection, and that which always becomes and never is and is conceived by opinion with the help of sense.",Plato,,9
"My opinion is: Truth must be absolute and that you Mr. Protagoras, are absolutely in error. Since this is indeed my opinion, then you must concede that it is true according to your philosophy.",Plato,,9
"There is nothing I like better than conversing with aged men. For I regard them as travelers who have gone a journey which I too may have to go, and of whom I ought to inquire whether the way is smooth and easy or rugged and difficult. Is life harder toward the end, or what report do you give it?",Plato,discipleship heritage mentoring,9
"for philosophy, Socrates, if pursued in moderation and at the proper age, is an elegant accomplishment, but too much philosophy is the ruin of human life.",Plato,philosophy,9
"Would he not say with Homer,. Better to be the poor servant of a poor master, and to endure anything, rather than think as they do and live after their ...",Plato,,9
"[""F]or it's not possible,"" [Socrates] said, ""for anybody to experience a greater evil than hating arguments. Hatred of arguments and hatred of human beings come about in the same way. For hatred of human beings arises from artlessly trusting somebody to excess, and believing that human being to be in every way true and sound and trustworthy, and then a little later discovering that this person is wicked and untrustworthy - and then having this experience again with another. And whenever somebody experiences this many times, and especially at the hands of just those he might regard as his most intimate friends and comrades, he then ends up taking offense all the time and hates all human beings and believes there's nothing at all sound in anybody.",Plato,evil evils hate hurt trusted,9
"If you harm a horse do you make him better or worse?""""Worse.",Plato,horse punishment,9
"And I think that you must have observed again and again what a poor appearance the tales of poets make when stripped of the colours which music puts upon them, and recited in simple prose.",Plato,,9
"... because it is correct to make a priority of young people, taking care that they turn out as well as possible...",Plato,,9
Beauty is the splendor of truth.(Die Schönheit ist der Glanz der Wahrheit),Plato,,9
I say that justice is nothing other than the advantage of [c] the stronger.,Plato,,9
Socrates: I'm afraid that it might actually be sacrilegious to stand idly by while morality is being denigrated and not try to assist as long as one has breath in one's body and a voice to protest with.,Plato,immorality plato republic socrates the-republic,9
Self conquest is the greatest of victories.,Plato,,9
"But of the heaven which is above the heavens, what earthly poet ever did or ever will sing worthily?",Plato,,8
"Rather I think that a man who ... is willing ... to value learning as long as he lives, not supposing that old age brings him wisdom of itself, will necessarily pay more attention to the rest of his life.",Plato,age wisdom,8
"He who is only an athlete is too crude, too vulgar, too much a savage. He who is a scholar only is too soft, to effeminate. The ideal citizen is the scholar athlete, the man of thought and the man of action.",Plato,,8
"I pity you who are my companions, because you think that you are doing something when in reality you are doing nothing.",Plato,,8
"Socrates: But why, my dear Crito, should we care about the opinion of the many?",Plato,,8
"Then we got into a labyrinth, and, when we thought we were at the end,came out again at the beginning, having still to see as much as ever.",Plato,cycle eternal journey puzzle,8
"SOCRATES: Perhaps we may be wrong; if so, you in your wisdom should convince us that we are mistaken in preferring justice to injustice. THRASYMACHUS: And how am I to convince you, he said, if you are not already convinced by what I have just said; what more can I do for you? Would you have me put the proof bodily into your souls?",Plato,,8
"Star of my life, to the stars your face is turned;Would I were the heavens, looking back at you with ten thousand eyes.",Plato,,8
"[Dialogue between Solon and an Egyptian Priest]In the Egyptian Delta, at the head of which the river Nile divides, there is a certain district which is called the district of Sais [...] To this city came Solon, and was received there with great honour; he asked the priests who were most skilful in such matters, about antiquity, and made the discovery that neither he nor any other Hellene knew anything worth mentioning about the times of old. On one occasion, wishing to draw them on to speak of antiquity, he began to tell about the most ancient things in our part of the world-about Phoroneus, who is called ""the first man,"" and about Niobe; and after the Deluge, of the survival of Deucalion and Pyrrha; and he traced the genealogy of their descendants, and reckoning up the dates, tried to compute how many years ago the events of which he was speaking happened. Thereupon one of the priests, who was of a very great age, said: O Solon, Solon, you Hellenes are never anything but children, and there is not an old man among you. Solon in return asked him what he meant. I mean to say, he replied, that in mind you are all young; there is no old opinion handed down among you by ancient tradition, nor any science which is hoary with age.",Plato,egypt history knowledge wisdom,8
"Since then, as philosophers prove, appearance tyrannizes over truth and is lord of happiness, to appearance I must devote myself.",Plato,,8
"The point which I should first wish to understand is whether the pious or holy is beloved by the gods because it is holy, or holy because it is beloved of the gods.",Plato,,8
"For a poet is an airy thing, winged and holy, and he is not able to make poetry until he becomes inspired and goes out of his mind and his intellect is no longer in him.",Plato,,8
We can easily forget a child who is afraid of the dark. The real tragedy of life is when men are afraid of the light.,Plato,inspirational,8
"So I took up those poems with which they seemed to have taken most trouble and asked them what they meant, in order that I might at the same time learn something from them. I am ashamed to tell you the truth, gentlemen, but I must. Almost all the bystanders might have explained the poems better than their authors could. I soon realized that poets do not compose their poems with knowledge, but by some inborn talent and by inspiration, like seers and prophets who also say many fine things without any understanding of what they say.",Plato,,8
For a man to conquer himself is the first and noblest of all victories.,Plato,,8
"And will life be worth having, if that higher part of man be destroyed, which is improved by justice and depraved by injustice?",Plato,,8
"I am speaking like a book, but I believe that what I am saying is true.",Plato,book philosophy speaking true truth,8
"I really do not know, Socrates, how to express what I mean. For somehow or other our arguments, on whatever ground we rest them, seem to turn round and walk away from us.",Plato,argument reasoning,8
"The lesser mysteries of loveFor he who would proceed aright in this matter should begin in youth to visit beautiful form; and first, if he be guided by his instructor aright, to love one such form only--out of that he should create fair thoughts; and soon he will of himself perceive that the beauty of one form is akin to the beauty of another; and then if beauty of form in general is his pursuit, how foolish would he be not to recognize that the beauty in every form is one and the same! And when he perceives this he will abate his violent love of the one, which he will despise and deem a small thing, and will become a lover of all beautiful forms; in the next stage he will consider that the beauty of the mind is more honorable than the beauty of the outward form.",Plato,love,8
"For this,"" he said, ""is the great error of our day in the treatment of the human body, that physicians separate the soul from the body.",Plato,,6
"The State is like a great and noble steed who is tardy in his motions owing to his very size, and requires to be stirred into life. I am that gadfly which God has given the State and all day long and in all places am always fastening upon you, arousing and persuading and reproaching you. You will not easily find another like me.",Plato,government,6
"For mankind censure injustice, fearing that they may be the victims of it and not because they shrink from committing it. And thus, as I have shown, Socrates, injustice, when on a sufficient scale, has more strength and freedom and mastery than justice; and, as I said at first, justice is the interest of the stronger, whereas injustice is a man's own profit and interest. Thrasymachus,",Plato,,6
Friends have all things in common.,Plato,,6
Today Learner is Tomorrow Leader,Plato,,6
"So if anyone is to declare how the all was in this way genuinely born, he must also mix in the form of the wandering cause-how it is its nature to sweep things around. In this way, then, we must retreat, and, by taking in turn another, new beginning suited to these very matters, just as in what was before us earlier, so too in what is before us now, we must begin again from the beginning.",Plato,,6
"But that we shall be better and braver and less helpless if we think that we ought to enquire, than we should have been if we indulged in the idle fancy that there was no knowing and no use in seeking to know what we do not know;—that is a theme upon which I am ready to fight, in word and deed, to the utmost of my power.",Plato,,6
"... as a breath of wind or some echo rebounds from smooth, hard surfaces and returns to the source from which it issued, so the stream of beauty passes back into its possessor through his eyes, which is its natural route to the soul; arriving there and setting him all aflutter, it waters the passages of the feathers and causes the wings to grow, and fills the soul of the loved one in his turn with love.",Plato,classical-texts eros love phaedrus philosophy plato socrates soul,6
Are not they temperate from a kind of intemperance?,Plato,,6
you don’t seem to love money too much. And those who haven’t made their own money are usually like you. But those who have made it for themselves are twice as fond of it as those who [c] haven’t.,Plato,,6
But I don't think we shall quarrel about a word - the subject of our inquiry is too important for that.,Plato,pedantic philosophy words,6
"You know, Phaedrus, writing shares a strange feature with painting. The offsprings of painting stand there as if they are alive, but if anyone asks them anything, they remain most solemnly silent. The same is true of written words. You'd think they were speaking as if they had some understanding, but if you question anything that has been said because you want to learn more, it continues to signify just that very same thing forever. When it has once been written down, every discourse rolls about everywhere, reaching indiscriminately those with understanding no less than those who have no business with it, and it doesn't know to whom it should speak and to whom it should not. And when it is faulted and attacked unfairly, it always needs its father's support; alone, it can neither defend itself nor come to its own support. [275d-e]",Plato,,6
... there is no necessity for the man who means to be an orator to understand what is really just but only what would appear so to the majority of those who will give judgment; and not what is really good or beautiful but whatever will appear so; because persuasion comes from that and not from the truth.,Plato,phaedrus plato politics rhetoric speeches,6
"The good is twice described in the Philebus as perfect, self- sufficient and seeked by all conscious beings. And the good does not have a contrary: it is not the one end of a scale whose evil would be the other end; it is a measure on any scale.""Taken from Bernard SuzannePlato and his dialoguesPursuing Goodness or the Good.Updated Nov 21, 1998",Plato,the-good,6
"So when a man surrenders to the sound of music and lets its sweet, soft, mournful strains, which we have just described, be funnelled into his soul through his ears, and gives up all his time to the glamorous moanings of song, the effect at first on his energy and initiative of mind, if he has any, is to soften it as iron is softened in a furnace, and made workable instead of hard and unworkable: but if he persists and does not break the enchantment, the next stage is that it melts and runs, till the spirit has quite run out of him and his mental sinews (if I may so put it) are cut, and he has become what Homer calls ""a feeble fighter"".",Plato,mind music,6
"For our discussion is about no ordinary matter, but on the right way to conduct our lives.",Plato,inspirational philosophy,6
"Man is the measure of all things: of things which are, that they are, and of things which are not, that they are not. ~ Protagoras",Plato,,6
What is spoken of the unchanging or intelligible must be certain and true; but what is spoken of the created image can only be probable; being is to becoming what truth is to belief.,Plato,,6
تراسيماخوس: ذلك لأن البشر إنما يذمّون الظلم خوفاً من أن يصبحوا من ضحاياه، لا اشمئزازاً من ارتكابه.,Plato,أفلاطون افلاطون الجمهورية-السفسطائيين,6
"Many great and wonderful deeds are recorded of your state in our histories. But one of them exceeds all the rest in greatness and valour. For these histories tell of a mighty power which unprovoked made an expedition against the whole of Europe and Asia, and to which your city put an end. This power came forth out of the Atlantic Ocean, for in those days the Atlantic was navigable; and there was an island situated in front of the straits which are by you called the Pillars of Heracles; the island was larger than Libya and Asia put together, and was the way to other islands, and from these you might pass to the whole of the opposite continent which surrounded the true ocean; for this sea which is within the Straits of Heracles is only a harbour, having a narrow entrance, but that other is a real sea, and the surrounding land may be most truly called a boundless continent. Now in this island of Atlantis there was a great and wonderful empire which had rule over the whole island and several others, and over parts of the continent, and, furthermore, the men of Atlantis had subjected the parts of Libya within the columns of Heracles as far as Egypt, and of Europe as far as Tyrrhenia. This vast power, gathered into one, endeavoured to subdue at a blow our country and yours and the whole of the region within the straits; and then, Solon, your country shone forth, in the excellence of her virtue and strength, among all mankind. She was pre-eminent in courage and military skill, and was the leader of the Hellenes. And when the rest fell off from her, being compelled to stand alone, after having undergone the very extremity of danger, she defeated and triumphed over the invaders, and preserved from slavery those who were not yet subjugated, and generously liberated all the rest of us who dwell within the pillars. But afterwards there occurred violent earthquakes and floods; and in a single day and night of misfortune all your warlike men in a body sank into the earth, and the island of Atlantis in like manner disappeared in the depths of the sea. For which reason the sea in those parts is impassable and impenetrable, because there is a shoal of mud in the way; and this was caused by the subsidence of the island.",Plato,,6
"It's like this, I think: the excellence of a good body doesn't make the soul good, but the other way around: the excellence of a good soul makes the body as good as it can be.",Plato,body fitness gymnastics soul,6
"Of course, he said, he who is of a certain nature, is like those who areof a certain nature; he who is not, not.",Plato,funny philosophy truth,6
Eros guides us to Logos.,Plato,,6
"Men say that we ought not to enquire into the supreme God and the nature of the universe, nor busy ourselves in searching out the causes of things, and that such enquiries are impious; whereas the very opposite is the truth.",Plato,,5
a man who is good for anything ought not to calculate the chance of living or dying; he ought only to consider whether in doing anything he is doing right or wrong - acting the part of a good man or of a bad.,Plato,,5
"if you think that a man who is any good at all should take into account the risk of life or death; he should look to this only in his action, whether what he does is right or wrong, whether he is acting life a good or a bad man.",Plato,truth,5
"The next thing I want to do is to make a prophecy to you, the ones who voted against me; I’m now at that moment when human beings are most prone to turn prophet, when they’re about to die. I tell you, you Athenians who have become my killers, that just as soon as I’m dead you’ll meet with a punishment that – Zeus knows – will be much harsher than the one you’ve meted out to me by putting me to death. You’ve acted as you have now because you think it’ll let you off being challenged for an account of your life; in fact, I tell you, you’ll find 39d the case quite the opposite. There’ll be more, not fewer, people challenging you – people that I was holding back, without your noticing it, and they’ll be all the harsher because they’re younger, and you’ll be crosser than you are now. If you think killing people will stop anyone reproaching you for not living correctly, you’re not thinking straight. Being",Plato,,5
Even the best of writings are but a reminiscence of what we know...,Plato,,5
"Then Prometheus, in his perplexity as to what preservation he could devise, stole from Hephaestus and Athena wisdom in the arts together with fire -- since by no means without fire could it be acquired or helpfully used by any -- and he handed it there and then as a gift to man.",Plato,,5
"The hour of departure has arrived, and we go our ways—I to die, and you to live. Which is better God only knows.",Plato,,5
"The word friend is common, the fact is rare.",Plato,facts-of-life friend friendship-quotes phaedrus plato,5
The perfect state is one where men weep and rejoice over the same things.,Plato,community unity,5
"Is it not true that the clever rogue is like the runner who runs well for the first half of the course, but flags before reaching the goal: he is quick off the mark, but ends in disgrace and slinks away crestfallen and uncrowned. The crown is the prize of the really good runner who perseveres to the end.",Plato,analogy inspirational motivational perseverance philosophy running,5
"We are completely perplexed, then, and you must clear up the question for us, of what you intend to signify when you use the word ""being"". Obviously you must be quite familiar with what you mean, whereas we, who formerly imagined we knew, are now at a loss.",Plato,,5
"O Solon, Solon, you Hellenes are but children. [...] There is no old doctrine handed down among you by ancient tradition nor any science which is hoary with age, and I will tell you the reason behind this. There have been and will be again many destructions of mankind arising out of many causes, the greatest having been brought about by earth-fire and inundation. Whatever happened either in your country or ours or in any other country of which we are informed, any action which is noble and great or in any other way remarkable which has taken place, all that has been inscribed long ago in our temple records, whereas you and other nations did not keep imperishable records. And then, after a period of time, the usual inundation visits like a pestilence and leaves only those of you who are destitute of letters and education. And thus you have to begin over again as children and know nothing of what happened in ancient times either among us or among yourselves.''As for those genealogies of yours which you have related to us, they are no better than tales of children; for in the first place, you remember one deluge only, whereas there were a number of them. And in the next place there dwelt in your land, which you do not know, the fairest and noblest race of men that ever lived of which you are but a seed or remnant. And this was not known to you because for many generations the survivors of that destruction made no records.'[Spoken by a priest of Egypt]",Plato,cataclysm children deluge destruction mankind records science tradition,5
"Now actions vary according to the manner of their performance. Take, for example, that which we are now doing, drinking, singing and talking these actions are not in themselves either good or evil, but they turn out in this or that way according to the mode of performing them; and when well done they are good, and when wrongly done they are evil; and in like manner not every love, but only that which has a noble purpose, is noble and worthy of praise.",Plato,,5
"SOCRATES: What evidence could be appealed to, supposing we were asked at this very moment whether we are asleep or awake?THEAETETUS: Indeed, Socrates, I do not see by what evidence it is to be proved; for the two conditions correspond in every circumstance like exact counterparts.",Plato,,5
"Plato is widely believed to have been a student of Socrates and to have been deeply influenced by his teacher's unjust death. Plato's brilliance as a writer and thinker can be witnessed by reading his Socratic dialogues. Some of the dialogues, letters, and other works that are ascribed to him are considered spurious",Plato,,5
"I went down yesterday to the Piraeus with Glaucon the son of Ariston, that I might offer up my prayers to the goddess (Bendis, the Thracian Artemis.); and also because I wanted to see in what manner they would celebrate the festival, which was a new thing. I was delighted with the procession of the inhabitants; but that of the Thracians was equally, if not more, beautiful. When we had finished our prayers and viewed the spectacle, we turned in the direction of the city; and at that instant Polemarchus the son of Cephalus chanced to catch sight of us from a distance as we were starting on our way home, and told his servant to run and bid us wait for him. The servant took hold of me by the cloak behind, and said: Polemarchus desires you to wait.",Plato,,5
"Yet whenever someone comes upon his very own half then they are wondrously struck with affection and intimacy and love, and are practically unwilling to be separated from one another even for a short time. And it is they who stay together for life, and who wouldn't be able to say what they want to get for themselves from one another.",Plato,,5
This City is what it is because our citizens are what they are.,Plato,,5
"I must go beyond the dark world of sense information to the clear brilliance of the sunlight of the outside world. Once done, it becomes my duty to go back to the cave in order to illuminate the minds of those imprisoned in the 'darkness' of sensory knowledge.",Plato,,5
"O youth or young man, who fancy that you are neglected by the Gods, know that if you become worse you shall go to the worse souls, or if better to the better, and in every succession of life and death you will do and suffer what like may fitly suffer at the hands of like. This is the justice of heaven.Plato",Plato,only-love-is-real,5
"Fire, air, earth, and water are bodies and therefore solids, and solids are contained in planes, and plane rectilinear figures are made up of triangles.",Plato,,5
"And therefore, I said, Glaucon, musical training is a more potent instrument than any other, because rhythm and harmony find their way into the inward places of the soul, on which they mightily fasten, imparting grace, and making the soul of him who is rightly educated graceful, or of him who is ill-educated ungraceful; and also because he who has received this true education of the inner being will most shrewdly perceive omissions or faults in art and nature, and with a true taste, while he praises and rejoices over and receives into his soul the good, and becomes noble and good, he will justly blame and hate the bad, now in the days of his youth, even before he is able to know the reason why; and when reason comes he will recognize and salute the friend with whom his education has made him long familiar……Thus much of music, which makes a fair ending; for what should be the end of music if not the love of beauty?",Plato,,5
"What of his beard? Are you not of Homer's opinion, who says Youth is most charming when the beard first appears?",Plato,,5
"the creative soul creates not children, but conceptions of wisdom and virtue,",Plato,,5
"Nothing could be more important than that the work of a soldier is well done. No tools will make a man a skilled workmen, or master of defense, or be of any use to him who has not learned how to handle them and has never bestowed any attention on them.",Plato,military professionalism,5
"At last I went to the artisans, for I was conscious that I knew nothing at all, as I may say, and I was sure that they knew many fine things; and in this I was not mistaken, for they did know many things of which I was ignorant, and in this they certainly were wiser than I was. But I observed that even the good artisans fell into the same error as the poets; because they were good workmen they thought that they also knew all sorts of high matters, and this defect in them overshadowed their wisdom",Plato,,5
"He who is the real tyrant, whatever men may think, is the real slave, and is obliged to practise the greatest adulation and servility, and to be the flatterer of the vilest of mankind. He has desires which he is utterly unable to satisfy, and has more wants than any one, and is truly poor, if you know how to inspect the whole soul of him: all his life long he is beset with fear and is full of convulsions and distractions, even as the State which he resembles: and surely the resemblance holds? Very true, he said. Moreover, as we were saying before, he grows worse from having power: he becomes and is of necessity more jealous, more faithless, more unjust, more friendless, more impious, than he was at first; he is the purveyor and cherisher of every sort of vice, and the consequence is that he is supremely miserable, and that he makes everybody else as miserable as himself. No man of any sense will dispute your words. Come",Plato,,5
"Caring about the happiness of others, we find our own.",Plato,caring happiness,5
Good actions can strengthen ourselves and inspire good actions to others.,Plato,,5
They deem him their worst enemy who tells them the truth.,Plato,,5
"There is a constant suspicion that headache and giddiness are to be ascribed to philosophy, and hence all practising or making trial of virtue in the higher sense is absolutely stopped; for a man is always fancying that he is being made ill, and is in constant anxiety about the state of his body.",Plato,,5
"To fear death is nothing other than to think oneself wise when one is not; for it is to think one knows what one does not know. No man knows whether death may not even turn out to be the greatest blessing for a human being; and yet people fear it as if they knew for certain that is is the greatest of evil."" (Socrates in The Apology)",Plato,death plato wisdom,5
"All soul is immortal. For that which is always in movement is immortal; that which moves something else, and is moved by something else, in ceasing from movement ceases from living. So only that which moves itself, because it does not abandon itself, never stops moving. But it is also source and first principle of movement for the other things which move. Now a first principle is something which does not come into being. For all that comes into being must come into being from a first principle, but a first principle itself cannot come into being from anything at all; for if a first principle came into being from anything, it would not do so from a first principle. Since it is something that does not come into being, it must also be something which does not perish. For if a first principle is destroyed, neither will it ever come into being from anything itself nor will anything else come into being from it, given that all things must come into being from a first principle. It is in this way, then, that that which moves itself is a first principle of movement. It is not possible for this either to be destroyed or to come into being, or else the whole universe and the whole of that which comes to be might collapse together and come to a halt, and never again have a source from which things will be moved and come to be. And since that which is moved by itself has been shown to be immortal, it will incur no shame to say that this is the essence and the definition of the soul",plato,,5
"Will not the good man, who says whatever he says with a view to the best, speak with a reference to some standard and not at random; just as all other artists, whether the painter, the builder, the shipwright, or any other look all of them to their own work, and do not select and apply at random what they apply, but strive to give a definite form to it?",Plato,,5
"For I am certain, O men of Athens, that if I had engaged in politics, I should have perished long ago and done no good either to you or to myself.",Plato,philosophy politics socrates,5
"I would rather . . . that the whole world should be at odds with me, and oppose me, rather than that I myself should be at odds with myself, and contradict myself.",Plato,,5
"I see that you are indifferent about money, which is a characteristic rather of those who have inherited their fortunes than of those who have acquired them; the makers of fortunes have a second love of money as a creation of their own, resembling the affection of authors for their own poems, or of parents for their children, besides that natural love of it for the sake of use and profit which is common to them and all men. And hence they are very bad company, for they can talk about nothing but the praises of wealth.",Plato,,5
"It’s not from money that excellence comes, but from excellence money and the other things, all of them, come to be good for human beings, whether in private or in public life.",Plato,,5
"«Ἀνάγκης θυγατρός κόρης Λαχέσεως λόγος. Ψυχαὶ ἐφήμεροι, ἀρχὴ ἂλλης περιόδου θνητοῦ γένους θανατηφόρου. Οὐχ ὑμᾶς δαίμων λήξεται, ἀλλ’ ὑμεῖς δαίμονα αἱρήσεσθε. Πρῶτος δ’ ὁ λαχών πρῶτος αἱρείσθω βίον ᾧ συνέσται ἐξ ἀνάγκης. Ἀρετὴ δὲ ἀδέσποτον, ἣν τιμῶν καὶ ἀτιμάζων πλέον καὶ ἒλαττον αὐτῆς ἓκαστος ἓξει. Αἰτία ἑλομένου. θεὸς ἀναίτιος.»",Plato,after-life destiny life plato republic,5
‌آنچه كه سبب شود كه نيستي صورت هستي به خود گيرد آفرينش و خلاقيت است. از اين رو، همه هنر ها آفريدن است و استادان و هنر مندان، همه خلاق و آفرينش گرند ,Plato,,5
"Does not every man love that which he deems noble and just and good, and hate the opposite of them?people regard the same things, some as just and others as unjust,--about these they dispute; and so there arise wars and fightings among them.",Plato,,5
"Whereas the truth is that the State in which the rulers are most reluctant to govern is always the best and most quietly governed, and the State in which they are most eager, the worst.",Plato,,5
"فليس عسير أيها الاصدقاء أن نفر من وجه الموت, ولكن العسر كل العسر في تجنب الأخلاق الفاسدة, فالفساد والموت يعدوان في أعقابنا, ولكن الفساد أسرع من الموت عدوا",Plato,,4
no man should be angry at what is true. But those who love the truth in each thing are to be called lovers of wisdom and not lovers of opinion. Assuredly.,Plato,,4
He who desires to be happy must pursue and practice temperance and run away from intemperance as fast as his legs will carry him.,Plato,,4
"From all these, then, they will be finally free, and they will live a happier life than that men count most happy, the life of victors at Olympia.",Plato,,4
"not to care for any of his belongings before caring that he himself should be as good and as wise as possible, not to care for the city’s possessions more than for the city itself, and to care for other things in the same way.",Plato,,4
"Eat and drink and sit with the mighty, and make yourself agreeable to them; for from the good you will learn what is good, but if you mix with the bad you will lose the intelligence which you already have.",Plato,,4
"My dear Homer, if you are really only once removed from the truth, with reference to virtue, instead of being twice removed and the manufacturer of a phantom, according to our definition of an imitator, and if you need to be able to distinguish between the pursuits which make men better or worse, in private and in public, tell us what city owes a better constitution to you, as Lacedaemon owes hers to Lycurgus, and as many cities, great and small, owe theirs to many other legislators? What state attributes to you the benefits derived from a good code of laws? Italy and Sicily recognize Charondas in this capacity, and we solon. But what state recognizes you.",Plato,,4
